RANDOM_ID,GENDER,IN_STATE,UNMET_NEED_PERCENT,PELL,MAJOR,MAJOR_DESC,SCIENCE_CLASSES,LAB_CLASSES,RESIDENCE_HALL,ETHNICITY,CREDITS_EARNED,GPA_CREDITS,GPA
"348,615",F,N,0,,BMKT,Marketing,5,1,Gillson,Asian,145,141,3.82
"351,355",F,Y,100,Y,ARTM,Art History/Arts Management,6,5,Fromm,Multi Race,129,130,3.00
"360,462",F,Y,23,,BIOL,Biology,20,9,Phelan,Asian,141,124,2.92
"370,421",F,Y,62,,ARTM,Art History/Arts Management,1,2,Gillson,White,32,32,3.88
"372,419",M,N,0,,HIST,History,0,0,Hayes Healy,White,16,40,1.43
"375,854",F,Y,100,Y,NURS,Nursing,7,14,Gillson,African American,134,118,2.79
"378,063",M,Y,94,Y,ESS,Exercise and Sport Science,8,0,,Asian,55,51,3.38
"386,099",M,Y,70,,BENI,Entrepreneurship & Innovation,3,1,Hayes Healy,White,128,112,3.34
"387,018",F,N,90,,UNBN,Undeclared Business,4,3,Fromm,White,145,135,3.92
"390,635",F,Y,100,Y,BIOL,Biology,16,6,Hayes Healy,Hispanic or Latino,57,60,2.97
"392,824",M,Y,100,Y,UNSC,Undeclared Sciences,18,3,Pacific Wing,Multi Race,124,112,3.40
"418,677",F,N,0,,MS,Media Studies,0,0,Hayes Healy,White,48,24,3.28
"419,131",M,Y,94,Y,NURS,Nursing,7,14,Hayes Healy,White,142,99,3.25
"426,667",M,N,0,,BMKT,Marketing,7,2,Hayes Healy,White,133,125,3.17
"438,328",F,Y,53,,UNLA,Undeclared Arts,15,7,,Hispanic or Latino,73,64,2.78
"439,237",M,Y,0,,DSGN,Design,5,4,Phelan,International,128,128,3.35
"444,158",F,Y,85,,ESS,Exercise and Sport Science,3,1,Hayes Healy,Hispanic or Latino,24,28,2.24
"446,481",F,Y,73,,NURS,Nursing,10,5,Gillson,White,43,50,2.34
"457,307",F,N,100,Y,UNLA,Undeclared Arts,3,0,Lone Mountain,Hispanic or Latino,96,108,2.45
"458,732",M,Y,88,,PSYC,Psychology,5,2,Phelan,Hispanic or Latino,128,128,2.82
"461,297",F,Y,67,,COMS,Communication Studies,4,1,Hayes Healy,African American,128,128,3.61
"468,602",F,N,0,,UNBN,Undeclared Business,3,1,Hayes Healy,White,141,96,3.78
"469,926",M,Y,0,,ESS,Exercise and Sport Science,1,0,Gillson,International,30,29,0
"476,126",F,N,100,Y,MS,Media Studies,3,3,Phelan,African American,130,130,2.94
"485,268",F,Y,0,,BADM,Business Administration,5,1,Phelan,Hispanic or Latino,128,127,3.14
"486,717",F,Y,88,,BAIS,International Studies,4,1,Fromm,White,153,125,3.94
"497,292",F,N,93,Y,ENGL,English,3,2,Gillson,African American,133,133,3.70
"501,470",M,Y,87,,NURS,Nursing,7,14,Hayes Healy,Asian,131,103,3.63
"509,814",F,Y,97,Y,NURS,Nursing,8,14,Phelan,Asian,146,110,3.54
"515,765",F,N,46,,UNSC,Undeclared Sciences,6,2,Hayes Healy,Asian,42,34,3.12
"524,501",F,Y,12,,BIOL,Biology,11,5,Phelan,Hispanic or Latino,136,136,3.41
"540,785",M,N,52,,UNLA,Undeclared Arts,3,6,Lone Mountain,Hispanic or Latino,90,92,2.17
"549,249",F,Y,0,,NURS,Nursing,7,14,,Asian,152,100,3.84
"558,406",M,N,0,,SOC,Sociology,4,1,Hayes Healy,Hispanic or Latino,128,128,2.91
"562,269",M,Y,75,,POLS,Politics,3,1,Gillson,Hispanic or Latino,128,104,2.89
"562,963",F,Y,52,,BADM,Business Administration,3,0,Hayes Healy,White,75,57,3.29
"573,638",M,N,0,,PASJ,Perf. Arts & Soc. Justice,0,2,Gillson,White,35,33,3.52
"578,099",F,Y,93,Y,PHYS,Physics,9,3,Gillson,Hispanic or Latino,71,63,2.74
"588,277",F,N,100,Y,BACT,Accounting,3,1,Hayes Healy,African American,150,123,3.12
"590,346",F,Y,0,,UNBN,Undeclared Business,5,1,Gillson,International,129,129,3.56
"606,838",M,Y,0,,POLS,Politics,3,1,,International,142,142,3.61
"608,011",M,N,0,,BIOL,Biology,35,13,Phelan,Asian,128,128,3.22
"616,585",F,N,74,,BADM,Business Administration,3,3,Hayes Healy,White,161,149,3.88
"623,790",F,N,89,,UNLA,Undeclared Arts,5,1,Gillson,Asian,130,130,3.41
"635,267",F,Y,64,,UNBN,Undeclared Business,7,4,Gillson,Hispanic or Latino,130,130,3.03
"662,505",M,Y,100,Y,BFIN,Finance,5,1,Phelan,White,128,126,3.21
"672,109",M,Y,0,,UNBN,Undeclared Business,3,5,Phelan,White,130,130,3.12
"676,952",F,Y,0,,BNTL,International Business,13,4,Gillson,White,138,128,3.38
"696,600",F,Y,0,,ADVT,Advertising,3,1,Hayes Healy,White,130,130,3.41
"698,868",F,N,19,,PSYC,Psychology,0,0,Hayes Healy,White,32,32,2.96
"724,037",M,Y,93,,BADM,Business Administration,9,1,Phelan,Hispanic or Latino,128,108,3.41
"731,977",F,Y,93,Y,ADVT,Advertising,0,0,Fromm,Native American,29,29,3.59
"741,234",F,Y,57,,BIOL,Biology,32,13,Fromm,Asian,128,120,3.50
"745,743",F,Y,44,,ESS,Exercise and Sport Science,10,3,Gillson,White,128,132,3.06
"749,959",F,Y,0,,SOC,Sociology,1,0,Fromm,White,58,32,3.51
"755,030",M,Y,100,Y,ARCD,Architecture & Community Design,4,11,Hayes Healy,Hispanic or Latino,130,130,3.38
"757,455",M,Y,0,,UNBN,Undeclared Business,4,1,,International,157,126,3.93
"789,831",F,Y,0,,BNTL,International Business,4,1,Hayes Healy,Asian,128,120,3.31
"832,986",F,Y,0,,BFIN,Finance,3,1,Fromm,International,138,138,3.84
"833,498",F,Y,37,,COMS,Communication Studies,2,0,Gillson,White,158.50,154,2.95
"833,753",M,Y,0,,BADM,Business Administration,1,1,Gillson,International,99,77,2.27
"844,758",M,Y,100,Y,UNLA,Undeclared Arts,9,5,Gillson,Hispanic or Latino,139,139,3.43
"899,294",F,Y,0,,ENVA,Environmental Studies,6,3,Fromm,Asian,66,66,3.67
"905,828",F,Y,0,,BADM,Business Administration,4,1,Phelan,International,150,154,2.85
"917,480",M,Y,12,,CS,Computer Science,23,3,Gillson,Asian,129,105,3.58
"923,044",F,Y,0,,NURS,Nursing,8,14,Hayes Healy,White,144,98,3.72
"931,259",F,N,0,,SOC,Sociology,3,1,Gillson,White,32,32,3.51
"933,570",M,Y,75,,BFIN,Finance,2,0,Gillson,Hispanic or Latino,70,62,3.69
"967,598",F,Y,68,,MS,Media Studies,4,6,Fromm,White,128,128,3.48
"972,442",M,Y,100,Y,MATH,Mathematics,1,0,Hayes Healy,White,32,32,3.65
"979,149",F,Y,97,Y,CDS,Critical Diversity Studies,3,1,Hayes Healy,Hispanic or Latino,128,126,3.03
"984,795",M,N,0,,BFIN,Finance,5,1,Hayes Healy,White,68,66,3.95
"984,808",F,N,82,,BIOL,Biology,37,12,Fromm,Asian,137,135,3.35
"998,843",F,Y,0,,BIOL,Biology,2,1,Gillson,White,12,20,1.52
"999,662",M,Y,0,,PASJ,Perf. Arts & Soc. Justice,2,6,Gillson,International,33,37,3.25
"1,011,630",F,N,100,Y,ENGL,English,3,1,Gillson,African American,73,64,3.47
"1,019,085",F,Y,98,Y,COMS,Communication Studies,25,8,Gillson,White,131,131,3.46
"1,023,954",M,Y,100,Y,BADM,Business Administration,3,1,Gillson,Hispanic or Latino,137,126,2.66
"1,045,886",F,Y,100,Y,NURS,Nursing,7,14,Phelan,Asian,134,104,3.69
"1,047,160",M,Y,0,,BFIN,Finance,4,1,,International,138,112,3.39
"1,076,819",F,N,90,,ENVS,Environmental Science,4,7,Gillson,White,34,34,2.95
"1,080,103",F,Y,100,Y,PSYC,Psychology,0,0,Hayes Healy,Hispanic or Latino,41.50,46,1.05
"1,082,872",F,Y,92,Y,DSGN,Design,1,2,Phelan,White,64,64,3.53
"1,092,594",F,Y,99,Y,BMKT,Marketing,3,8,Phelan,Hispanic or Latino,142,126,3.37
"1,098,194",F,N,81,,UNSC,Undeclared Sciences,1,2,Hayes Healy,Hispanic or Latino,15,15,2.12
"1,111,071",M,N,0,,BIOL,Biology,7,6,Gillson,White,128,132,3.50
"1,117,366",F,Y,73,,UNBN,Undeclared Business,3,1,Hayes Healy,Hispanic or Latino,129,129,3.15
"1,119,262",F,Y,48,,PASJ,Perf. Arts & Soc. Justice,1,1,Gillson,Hispanic or Latino,36,36,3.22
"1,120,698",F,N,100,Y,POLS,Politics,3,1,Hayes Healy,Hispanic or Latino,129,124,3.45
"1,121,644",F,N,0,,COMS,Communication Studies,1,0,Hayes Healy,Asian,12,12,2.47
"1,129,033",F,Y,0,,BMKT,Marketing,5,1,Lone Village,International,148,152,2.70
"1,130,943",M,Y,100,Y,CS,Computer Science,19,4,Hayes Healy,Hispanic or Latino,128,128,3.15
"1,151,522",F,Y,0,,ENGL,English,1,0,Fromm,Asian,44,28,1.93
"1,152,210",M,Y,0,,CS,Computer Science,18,3,Gillson,International,134,134,3.47
"1,154,976",F,Y,37,,ARTM,Art History/Arts Management,2,4,Hayes Healy,White,134,122,3.66
"1,160,038",F,Y,76,,CS,Computer Science,10,3,Hayes Healy,White,48,48,1.89
"1,169,904",M,N,0,,MS,Media Studies,0,0,Phelan,White,12,12,3.23
"1,177,362",M,N,0,,MS,Media Studies,1,0,Hayes Healy,White,74,34,3.49
"1,183,784",F,N,0,,BADM,Business Administration,3,6,Gillson,White,135,135,3.92
"1,186,437",F,Y,0,,UNBN,Undeclared Business,1,0,Gillson,Hispanic or Latino,65,65,3.59
"1,190,278",M,Y,66,,BIOL,Biology,34,14,Phelan,Unknown,140,131,2.86
"1,195,587",F,Y,96,Y,BADM,Business Administration,3,1,,Asian,132,120,3.96
"1,205,291",M,Y,0,,BADM,Business Administration,3,1,Hayes Healy,Asian,154,138,3.95
"1,206,176",F,Y,0,,BADM,Business Administration,3,1,Fromm,Asian,129,121,3.49
"1,206,267",M,Y,92,Y,BADM,Business Administration,3,1,Gillson,Asian,129,129,3.27
"1,212,274",F,N,0,,BIOL,Biology,10,6,Hayes Healy,White,64,32,3.73
"1,212,319",F,N,92,Y,UNSC,Undeclared Sciences,6,2,Phelan,Asian,28,27,2.64
"1,214,708",M,Y,0,,BIOL,Biology,36,12,Gillson,Multi Race,152,131,3.67
"1,233,447",M,N,0,,CS,Computer Science,6,2,Phelan,White,128,132,2.94
"1,236,235",F,N,0,,ADVT,Advertising,1,0,Hayes Healy,White,16,16,2.43
"1,237,817",M,Y,84,,CMPL,Comparative Lit. & Culture,1,0,Hayes Healy,Asian,128,120,3.24
"1,250,202",F,Y,28,,COMS,Communication Studies,4,1,Phelan,Hispanic or Latino,128,132,2.81
"1,254,596",M,Y,89,,ENGL,English,19,1,Gillson,White,144,128,3.58
"1,254,762",F,Y,34,,PSYC,Psychology,0,1,Gillson,White,128,84,3.67
"1,256,767",F,Y,0,,MS,Media Studies,0,0,Fromm,White,16,16,2.60
"1,264,723",F,Y,51,,DSGN,Design,1,0,Gillson,Hispanic or Latino,24,16,2.93
"1,264,887",M,Y,0,,BADM,Business Administration,1,0,Lone Mountain,International,0,12,0
"1,266,282",M,N,0,,CS,Computer Science,5,2,Phelan,International,129,129,2.57
"1,274,460",F,Y,87,,MATH,Mathematics,30,7,Hayes Healy,Hispanic or Latino,128,132,2.85
"1,276,964",M,Y,100,Y,BNTL,International Business,32,13,Gillson,White,131,127,3.69
"1,279,925",F,Y,0,,PSYC,Psychology,0,0,Hayes Healy,Asian,36,32,1.05
"1,280,436",F,Y,0,,BMKT,Marketing,4,1,Hayes Healy,White,134,130,3.62
"1,281,883",M,N,98,Y,CS,Computer Science,4,0,Gillson,African American,43,55,1.95
"1,287,302",M,Y,0,,BAIS,International Studies,9,1,Gillson,Asian,165,121,3.53
"1,289,090",F,N,0,,UNBN,Undeclared Business,3,3,Hayes Healy,International,128,131,2.96
"1,290,094",M,Y,9,,CS,Computer Science,20,7,Gillson,Asian,128,100,3.27
"1,300,742",M,N,0,,UNLA,Undeclared Arts,20,4,Phelan,White,120,128,2.78
"1,301,448",F,Y,62,,COMS,Communication Studies,3,1,Gillson,White,129,113,3.28
"1,306,622",F,N,100,Y,UNLA,Undeclared Arts,1,1,Phelan,Asian,49,33,3.73
"1,316,672",M,N,90,,CS,Computer Science,5,1,Hayes Healy,White,8,18,0.78
"1,324,174",F,Y,2,,NURS,Nursing,9,14,Hayes Healy,White,129,101,3.23
"1,327,645",M,Y,0,,UNLA,Undeclared Arts,2,1,Gillson,White,140,128,3.71
"1,331,788",M,Y,0,,BADM,Business Administration,2,1,Lone Mountain,International,27,41,1.63
"1,332,573",F,Y,100,Y,PSYC,Psychology,9,3,Phelan,Asian,128,128,3.38
"1,346,680",M,N,0,,BENI,Entrepreneurship & Innovation,3,1,Lone Village,International,130,130,2.71
"1,358,394",M,Y,43,,BIOL,Biology,12,5,Gillson,Asian,133.35,130,3.45
"1,369,520",M,N,100,Y,ENVS,Environmental Science,27,12,Gillson,White,128,122,2.90
"1,391,395",F,Y,97,Y,BAIS,International Studies,3,1,Phelan,White,155.50,141,3.91
"1,393,498",F,N,99,Y,PASJ,Perf. Arts & Soc. Justice,3,19,Gillson,Hispanic or Latino,150,134,3.42
"1,398,872",M,Y,35,,PSYC,Psychology,3,1,Gillson,Asian,130,130,3.39
"1,398,961",F,N,98,Y,CS,Computer Science,3,1,Gillson,White,51,27,3.27
"1,402,142",F,Y,0,,BADM,Business Administration,10,1,Fromm,Asian,142,138,3.83
"1,411,053",F,Y,48,,PSYC,Psychology,4,2,Phelan,Hispanic or Latino,128,120,3.28
"1,413,677",M,Y,0,,ENGL,English,3,1,Gillson,White,82,62,3.90
"1,415,798",F,Y,100,Y,FNAR,Fine Arts,0,3,Hayes Healy,Hispanic or Latino,35,35,3.41
"1,425,519",M,Y,96,Y,BADM,Business Administration,8,1,Lone Mountain,African American,61,63,2.29
"1,429,643",M,Y,0,,ARCD,Architecture & Community Design,1,3,Gillson,White,55,55,2.93
"1,430,932",F,Y,0,,PSYC,Psychology,3,3,Gillson,Unknown,128,120,3.41
"1,431,052",M,Y,20,,BADM,Business Administration,4,1,Hayes Healy,White,131,131,3.37
"1,453,055",M,Y,22,,BADM,Business Administration,8,2,Hayes Healy,African American,131,131,3.93
"1,458,685",F,N,100,,COMS,Communication Studies,3,6,Fromm,Hispanic or Latino,160,128,3.69
"1,460,401",M,Y,0,,BADM,Business Administration,4,1,Gillson,International,128,136,2.43
"1,462,562",M,N,0,,ARCD,Architecture & Community Design,3,1,Hayes Healy,White,128,128,3.63
"1,465,966",F,N,0,,SOC,Sociology,2,0,Phelan,Hispanic or Latino,131,131,3.12
"1,467,924",F,Y,100,Y,COMS,Communication Studies,6,1,Hayes Healy,Hispanic or Latino,129,137,3.05
"1,479,618",F,N,0,,BIOL,Biology,4,1,Phelan,White,133,125,3.44
"1,481,958",F,Y,77,,UNSC,Undeclared Sciences,4,1,Fromm,Multi Race,128,128,3.85
"1,490,195",M,Y,0,,BFIN,Finance,4,1,Lone Mountain,International,142,154,2.85
"1,493,497",M,Y,95,Y,UNSC,Undeclared Sciences,0,0,Gillson,White,24,28,1.69
"1,502,714",M,N,0,,UNBN,Undeclared Business,5,4,Phelan,Asian,137,117,3.76
"1,505,582",F,N,0,,BACT,Accounting,4,3,Phelan,International,151,150,3.92
"1,508,295",F,Y,77,,POLS,Politics,4,2,Hayes Healy,Hispanic or Latino,130,130,2.76
"1,511,855",F,Y,97,Y,BADM,Business Administration,3,1,Phelan,Hispanic or Latino,138,130,3.31
"1,516,007",F,Y,100,Y,COMS,Communication Studies,3,1,Phelan,Multi Race,128,128,3.08
"1,518,067",M,Y,0,,BAIS,International Studies,3,1,Lone Mountain,International,128,128,3.47
"1,519,859",M,Y,100,Y,PSYC,Psychology,2,2,Hayes Healy,Hispanic or Latino,128,125,3.65
"1,521,604",M,Y,99,Y,ENGL,English,3,3,Gillson,Hispanic or Latino,128,120,3.69
"1,522,361",F,N,98,Y,CHEM,Chemistry,4,2,Hayes Healy,White,30,29,2.74
"1,524,363",F,Y,98,Y,BADM,Business Administration,1,0,Phelan,Asian,29,33,2.91
"1,526,154",F,Y,63,,NURS,Nursing,6,14,Hayes Healy,Hispanic or Latino,167,110,3.30
"1,528,064",F,Y,35,,NURS,Nursing,7,14,Gillson,White,135,107,3.56
"1,533,177",M,Y,0,,DSGN,Design,0,0,Gillson,White,24,24,2.93
"1,542,208",M,Y,25,,BADM,Business Administration,4,1,Hayes Healy,Asian,130,130,3.54
"1,543,420",F,Y,0,,PSYC,Psychology,6,5,Phelan,International,128,134,2.93
"1,543,844",F,N,100,Y,DSGN,Design,3,4,Fromm,Asian,129,109,3.74
"1,553,875",M,Y,0,,BADM,Business Administration,7,1,Hayes Healy,White,128,125,2.86
"1,562,906",F,Y,0,,BADM,Business Administration,3,1,Gillson,International,130,122,3.38
"1,565,463",M,Y,68,,ESS,Exercise and Sport Science,38,11,Phelan,Asian,128,143,2.82
"1,568,054",F,Y,0,,JNST,Japanese Studies,8,1,Gillson,Asian,128,98,3.62
"1,572,624",F,Y,3,,BMKT,Marketing,4,2,Phelan,White,134,130,3.77
"1,573,306",F,N,87,,BIOL,Biology,4,2,Gillson,Unknown,20,16,2.03
"1,575,785",M,N,0,,BAIS,International Studies,5,1,,International,142,146,3.22
"1,590,533",F,Y,100,Y,NURS,Nursing,13,17,Phelan,Asian,145,117,3.37
"1,590,543",M,Y,0,,BMKT,Marketing,3,6,Hayes Healy,White,129,129,3.53
"1,609,970",F,N,0,,BADM,Business Administration,0,0,,International,4,12,1.10
"1,611,191",F,Y,100,Y,BIOL,Biology,31,12,Gillson,Asian,134,118,3.57
"1,612,346",F,Y,100,Y,DSGN,Design,0,2,Gillson,White,8,16,0.83
"1,626,654",F,Y,60,,COMS,Communication Studies,5,1,Fromm,Hispanic or Latino,128,112,3.34
"1,627,222",M,Y,56,,ARCD,Architecture & Community Design,4,10,Hayes Healy,White,133,133,3.05
"1,634,122",M,N,22,,BIOL,Biology,7,1,Hayes Healy,Pacific Islander,129,129,3.21
"1,641,288",F,N,0,,COMS,Communication Studies,3,4,Hayes Healy,Hispanic or Latino,128,128,3.14
"1,647,826",F,Y,87,,BOBL,Organizational Behav.& Ldrship,6,1,Gillson,Asian,128,128,3.42
"1,666,765",F,Y,69,,PSYC,Psychology,2,2,Phelan,Asian,129,126,3.34
"1,677,465",F,N,0,,URBS,Urban Studies,4,3,Hayes Healy,White,129,129,3.71
"1,686,167",F,Y,0,,PSYC,Psychology,2,4,Phelan,Asian,132,105,3.98
"1,692,887",M,Y,0,,BMKT,Marketing,9,1,Hayes Healy,International,128,139,2.48
"1,694,000",F,Y,84,,NURS,Nursing,8,14,Phelan,White,129,92,3.61
"1,694,872",M,N,0,,ECON,Economics,4,2,Hayes Healy,International,128,118,2.83
"1,698,993",F,N,83,,ENGL,English,6,1,Phelan,White,128,99,3.88
"1,701,766",F,Y,93,Y,NURS,Nursing,7,14,Hayes Healy,Hispanic or Latino,153,103,3.97
"1,709,690",F,N,93,Y,PSYC,Psychology,0,0,Hayes Healy,Hispanic or Latino,28,12,3.10
"1,748,963",F,Y,87,,COMS,Communication Studies,3,1,Phelan,Asian,133,125,3.83
"1,755,831",M,Y,0,,BIOL,Biology,40,14,Gillson,Asian,162,130,3.47
"1,756,311",M,N,100,Y,BADM,Business Administration,8,10,Hayes Healy,White,149,137,3.73
"1,756,328",F,Y,0,,ARCD,Architecture & Community Design,4,11,Phelan,International,133,125,2.00
"1,759,095",F,Y,96,Y,BIOL,Biology,2,1,Phelan,Hispanic or Latino,10,14,2.14
"1,762,602",M,N,0,,BENI,Entrepreneurship & Innovation,1,0,Hayes Healy,Asian,36,35,2.56
"1,771,163",F,Y,85,,BIOL,Biology,4,2,Hayes Healy,Hispanic or Latino,48,16,3.54
"1,772,266",F,Y,100,Y,PSYC,Psychology,3,2,Hayes Healy,Hispanic or Latino,128,120,3.56
"1,774,019",F,Y,0,,BADM,Business Administration,2,0,Phelan,Hispanic or Latino,16,16,3.58
"1,776,868",M,Y,0,,UNSC,Undeclared Sciences,,,,White,0,0,0
"1,777,518",M,Y,0,,CS,Computer Science,16,3,Phelan,International,136,136,3.09
"1,788,414",M,Y,0,,BAIS,International Studies,2,2,Hayes Healy,International,56,98,1.62
"1,794,204",F,Y,98,Y,COMS,Communication Studies,3,1,Phelan,White,128,128,3.02
"1,796,867",F,N,94,Y,BADM,Business Administration,1,0,Gillson,Hispanic or Latino,40,44,2.72
"1,800,916",M,Y,0,,BADM,Business Administration,0,0,Phelan,Asian,9,12,2.40
"1,809,927",F,N,0,,BENI,Entrepreneurship & Innovation,1,0,Gillson,White,36,16,3.46
"1,813,165",F,Y,61,,BIOL,Biology,10,3,Hayes Healy,Hispanic or Latino,128,130,2.65
"1,826,131",M,Y,100,Y,CS,Computer Science,17,3,,Hispanic or Latino,139,134,3.77
"1,832,735",F,N,0,,FNAR,Fine Arts,1,2,Hayes Healy,White,32,32,2.80
"1,854,966",M,N,99,Y,BIOL,Biology,8,2,Hayes Healy,Asian,130,128,3.56
"1,856,575",F,Y,0,,ARCD,Architecture & Community Design,4,10,Fromm,International,132,132,3.56
"1,857,343",F,Y,0,,BMKT,Marketing,3,1,Gillson,Asian,128,132,2.54
"1,868,193",F,Y,0,,COMS,Communication Studies,1,1,Gillson,International,60,63,2.91
"1,884,865",F,N,58,,BADM,Business Administration,2,0,Hayes Healy,White,31,35,2.20
"1,885,893",M,Y,0,,BFIN,Finance,1,0,Lone Village,International,146,103,3.88
"1,887,311",F,N,0,,ECON,Economics,5,1,Hayes Healy,International,128,128,3.19
"1,890,347",F,Y,0,,MS,Media Studies,12,7,Lone Mountain,Unknown,134,135,3.05
"1,897,002",F,Y,0,,BNTL,International Business,7,1,Phelan,Asian,157,125,4
"1,922,679",F,N,80,,NURS,Nursing,6,14,Hayes Healy,Asian,133,106,3.42
"1,923,404",F,Y,17,,PSYC,Psychology,6,3,,Multi Race,136,128,3.88
"1,923,776",F,N,0,,ECON,Economics,3,0,Hayes Healy,Multi Race,164,132,3.75
"1,927,992",F,Y,0,,ESS,Exercise and Sport Science,18,5,Hayes Healy,Asian,85,68,3.81
"1,928,260",F,Y,0,,BAIS,International Studies,3,2,Hayes Healy,Asian,128,124,2.51
"1,931,332",F,Y,0,,COMS,Communication Studies,3,1,Phelan,Asian,137,131,3.64
"1,931,699",M,Y,99,,BIOL,Biology,13,6,Gillson,Asian,63,71,2.82
"1,934,836",F,Y,0,,PSYC,Psychology,0,2,Fromm,White,133,117,3.96
"1,939,476",M,Y,72,,CS,Computer Science,21,2,Phelan,White,128,122,3.30
"1,950,486",M,Y,0,,ECON,Economics,1,0,Gillson,International,72,32,3.76
